pm10,pm2.5,so2,co,o3,no2,category
1,0,20,15,21,3,Baik
1,0,20,14,21,2,Baik
2,0,18,14,18,2,Baik
6,0,3,3,3,0,Baik
7,0,0,0,0,0,Baik
9,0,3,3,2,0,Baik
12,0,16,12,11,2,Baik
12,0,16,14,14,3,Baik
9,0,13,11,18,2,Baik
8,0,13,13,17,3,Baik
8,0,15,13,16,2,Baik
12,0,20,16,15,2,Baik
8,0,16,9,19,1,Baik
9,0,20,18,15,3,Baik
15,0,27,23,9,3,Baik
9,0,5,5,2,2,Baik
6,0,4,5,3,4,Baik
4,0,2,3,2,2,Baik
16,0,18,12,17,9,Baik
11,0,14,9,19,8,Baik
6,0,13,10,19,8,Baik
5,0,14,11,17,8,Baik
5,0,11,10,18,8,Baik
12,0,14,13,19,9,Baik
16,0,17,17,17,11,Baik
12,0,10,11,16,10,Baik
10,0,9,10,18,10,Baik
9,0,9,11,16,10,Baik
11,0,4,5,5,3,Baik
14,0,13,11,16,9,Baik
14,0,16,15,18,10,Baik
12,0,10,10,15,9,Baik
9,0,1,1,1,1,Baik
9,0,0,0,0,0,Baik
6,0,0,0,0,0,Baik
20,0,28,30,8,12,Baik
23,0,27,25,8,11,Baik
18,37,13,15,13,5,Baik
16,0,15,19,8,11,Baik
13,0,18,19,11,12,Baik
18,37,13,15,13,5,Baik
16,0,16,20,9,11,Baik
13,0,12,16,9,12,Baik
21,0,32,29,9,13,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
9,0,11,9,14,8,Baik
11,0,10,11,8,8,Baik
11,0,17,15,9,7,Baik
9,0,18,13,10,7,Baik
14,5,26,17,12,9,Baik
19,50,48,18,23,10,Baik
10,36,44,11,24,14,Baik
8,28,25,11,15,29,Baik
11,41,28,18,19,30,Baik
7,25,22,13,20,27,Baik
9,32,33,27,16,27,Baik
13,48,29,22,21,28,Baik
13,47,27,19,22,29,Baik
14,47,32,26,19,29,Baik
17,54,32,25,18,30,Sedang
18,56,26,25,15,33,Sedang
25,64,37,33,21,35,Sedang
19,57,26,23,26,35,Sedang
22,61,25,24,28,37,Sedang
